id,State,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,Issue_Year,Month,Month Name,Quarter,Annual_Income_Band,Interest_Rate_Band,DTI_Band,Empt_Lgth_Experience_Group
1004123,California,INDIVIDUAL,2 years,Lockheed Martin,B,RENT,"Wednesday, November 10, 2021","Sunday, May 16, 2021","Sunday, November 14, 2021",Fully Paid,"Tuesday, December 14, 2021",1230753,Debt consolidation,B3, 36 months,Not Verified,77000,0.116,396.92,0.1171,12000,8,14289,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Early Career
708357,California,INDIVIDUAL,3 years,Unknown,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Wednesday, April 14, 2021",Fully Paid,"Friday, May 14, 2021",900842,Debt consolidation,B3, 36 months,Not Verified,23000,0.1315,113.55,0.1037,3500,5,4088,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,Early Career
647918,California,INDIVIDUAL,3 years,Quiksilver,B,RENT,"Monday, November 1, 2021","Sunday, May 16, 2021","Tuesday, December 7, 2021",Fully Paid,"Wednesday, December 8, 2021",828927,Debt consolidation,B5, 36 months,Not Verified,52500,0.2053,389.24,0.1036,12000,42,13470,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Early Career
882293,California,INDIVIDUAL,4 years,West Coast Charters,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Saturday, November 13, 2021",Fully Paid,"Monday, December 13, 2021",1097462,Debt consolidation,B1, 36 months,Not Verified,38400,0.1913,418.93,0.0991,13000,8,14862,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Mid Career
1009799,California,INDIVIDUAL,4 years,Blue Shield Of California,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Friday, December 3, 2021",Fully Paid,"Saturday, December 4, 2021",1236556,Debt consolidation,B2, 36 months,Not Verified,108000,0.0726,195.44,0.1065,6000,24,6206,2021,11,November,4,High Income,Moderate Interest,Low DTI,Mid Career
808113,California,INDIVIDUAL,4 years,West Hills Community Church,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Thursday, December 9, 2021",Fully Paid,"Friday, December 10, 2021",1014764,Debt consolidation,B2, 36 months,Not Verified,56472,0.1728,513.4,0.1059,15775,24,17413,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Mid Career
680470,California,INDIVIDUAL,5 years,Leroy Haynes Center,B,RENT,"Tuesday, November 2, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",869295,Debt consolidation,B1, 36 months,Not Verified,68848,0.1032,256.76,0.0963,8000,10,9243,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Mid Career
695149,California,INDIVIDUAL,6 years,Immigrant Legal Resource Center,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",886196,Debt consolidation,B2, 36 months,Not Verified,66000,0.1776,516.28,0.1,16000,23,18586,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Experienced
808129,California,INDIVIDUAL,10+ years,Bay Alarm Co.,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Wednesday, July 14, 2021",Fully Paid,"Saturday, August 14, 2021",1014783,Debt consolidation,B3, 36 months,Not Verified,54000,0.118,261.88,0.1099,8000,21,9427,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
867738,California,INDIVIDUAL,10+ years,Xerox Corp,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Tuesday, July 13, 2021",Fully Paid,"Friday, August 13, 2021",1081353,Debt consolidation,B4, 36 months,Not Verified,56000,0.2136,32.98,0.1149,1000,36,1156,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Long Term Employee
988640,California,INDIVIDUAL,2 years,City Picture Frame,B,RENT,"Wednesday, November 10, 2021","Sunday, May 16, 2021","Sunday, November 14, 2021",Fully Paid,"Tuesday, December 14, 2021",1212720,Debt consolidation,B3, 36 months,Not Verified,21000,0.176,264.61,0.1171,8000,32,9526,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,Early Career
1016430,California,INDIVIDUAL,3 years,Citizen Relations,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Thursday, October 14, 2021",Fully Paid,"Sunday, November 14, 2021",1244133,Debt consolidation,B3, 36 months,Not Verified,78402,0.1024,370.46,0.1171,11200,16,13378,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Early Career
814800,California,INDIVIDUAL,4 years,Willis Risk  And  Insurance Services,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Thursday, December 9, 2021",Fully Paid,"Friday, December 10, 2021",1022359,Debt consolidation,B3, 36 months,Not Verified,48000,0.179,353.53,0.1099,10800,27,11810,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Mid Career
746780,California,INDIVIDUAL,5 years,Valley Lahvosh Baking Company,B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Tuesday, December 7, 2021",Fully Paid,"Wednesday, December 8, 2021",945582,Debt consolidation,B5, 36 months,Not Verified,27048,0.0701,116.24,0.1199,3500,11,3784,2021,11,November,4,Low Income,Moderate Interest,Low DTI,Mid Career
859402,California,INDIVIDUAL,6 years,Green Apple Books,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Tuesday, April 13, 2021",Fully Paid,"Thursday, May 13, 2021",1072046,Debt consolidation,B5, 36 months,Not Verified,45000,0.0896,365.31,0.1199,11000,20,12627,2021,11,November,4,Middle Income,Moderate Interest,Low DTI,Experienced
1040256,California,INDIVIDUAL,8 years,Premier Studios Of Ca.,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Tuesday, December 14, 2021",Fully Paid,"Friday, January 14, 2022",1270217,Debt consolidation,B3, 36 months,Not Verified,34000,0.168,396.92,0.1171,12000,23,14289,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Experienced
840110,California,INDIVIDUAL,< 1 year,Soundcloud,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Saturday, August 14, 2021",Fully Paid,"Tuesday, September 14, 2021",1050433,Debt consolidation,B3, 36 months,Not Verified,30000,0.2312,32.74,0.1099,1000,8,1178,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Long Term Employee
771503,California,INDIVIDUAL,4 years,Wideorbit,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Thursday, January 14, 2021",Fully Paid,"Sunday, February 14, 2021",973285,Debt consolidation,B5, 36 months,Not Verified,65000,0.0676,332.1,0.1199,10000,18,11908,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Mid Career
808655,California,INDIVIDUAL,9 years,L.A. County Parks And Recreation,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Wednesday, October 13, 2021",Fully Paid,"Saturday, November 13, 2021",1015402,Debt consolidation,B3, 36 months,Not Verified,55000,0.2195,294.61,0.1099,9000,21,10489,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Experienced
693820,California,INDIVIDUAL,< 1 year,Catholic Healthcare West,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",884672,Debt consolidation,B2, 36 months,Not Verified,47000,0.228,258.14,0.1,8000,32,9293,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Long Term Employee
821787,California,INDIVIDUAL,4 years,Affinity Solutions,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Sunday, December 5, 2021",Fully Paid,"Monday, December 6, 2021",1030172,Debt consolidation,B5, 36 months,Not Verified,102000,0.0488,259.04,0.1199,7800,28,8436,2021,11,November,4,High Income,Moderate Interest,Low DTI,Mid Career
875892,California,INDIVIDUAL,1 year,Appletree,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",1090434,Debt consolidation,B1, 36 months,Not Verified,25000,0.1902,51.62,0.0999,1600,20,1849,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,New Employee
857617,California,INDIVIDUAL,10+ years,Us Army,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Tuesday, September 14, 2021",Fully Paid,"Thursday, October 14, 2021",1070101,Debt consolidation,B3, 36 months,Not Verified,84000,0.0667,392.81,0.1099,12000,22,14200,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Long Term Employee
736687,California,INDIVIDUAL,3 years,Kaiser Permanente,B,RENT,"Thursday, November 4, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",933716,Debt consolidation,B3, 36 months,Not Verified,61000,0.0681,162.21,0.1037,5000,8,5839,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Early Career
1048550,California,INDIVIDUAL,5 years,"Tricor America, Inc.",B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Monday, December 13, 2021",Fully Paid,"Thursday, January 13, 2022",1279892,Debt consolidation,B3, 36 months,Not Verified,39600,0.1048,330.76,0.1171,10000,8,11668,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Mid Career
679776,California,INDIVIDUAL,6 years,"Telestream, Inc.",B,RENT,"Tuesday, November 2, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",868408,Debt consolidation,B2, 36 months,Not Verified,68120,0.0722,258.14,0.1,8000,25,9293,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Experienced
737076,California,INDIVIDUAL,6 years,Home Depot,B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Wednesday, December 8, 2021",Fully Paid,"Thursday, December 9, 2021",934175,Debt consolidation,B3, 36 months,Not Verified,26568,0.2231,81.11,0.1037,2500,13,2768,2021,11,November,4,Low Income,Moderate Interest,High DTI,Experienced
652286,California,INDIVIDUAL,2 years,Ucsd,B,RENT,"Monday, November 1, 2021","Sunday, May 16, 2021","Thursday, January 14, 2021",Fully Paid,"Sunday, February 14, 2021",834260,Debt consolidation,B2, 36 months,Source Verified,45000,0.0451,516.28,0.1,16000,27,18587,2021,11,November,4,Middle Income,Moderate Interest,Low DTI,Early Career
864873,California,INDIVIDUAL,2 years,Hewins Financial Advisors,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Tuesday, September 14, 2021",Fully Paid,"Thursday, October 14, 2021",1078058,Debt consolidation,B3, 36 months,Source Verified,54000,0.2056,392.81,0.1099,12000,6,14141,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Early Career
774077,California,INDIVIDUAL,2 years,E2C Remediation,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Monday, June 14, 2021",Fully Paid,"Wednesday, July 14, 2021",976178,Debt consolidation,B3, 36 months,Source Verified,62364,0.2475,327.34,0.1099,10000,14,11784,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Early Career
1015043,California,INDIVIDUAL,3 years,Alameda County,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",1242469,Debt consolidation,B2, 36 months,Source Verified,44568,0.0619,104.24,0.1065,3200,14,3720,2021,11,November,4,Middle Income,Moderate Interest,Low DTI,Early Career
1034463,California,INDIVIDUAL,3 years,Subaru Sherman Oaks,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Sunday, November 14, 2021",Fully Paid,"Tuesday, December 14, 2021",1264076,Debt consolidation,B3, 36 months,Source Verified,25000,0.1843,281.15,0.1171,8500,6,10119,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,Early Career
711906,California,INDIVIDUAL,4 years,The Home Depot,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Wednesday, April 14, 2021",Fully Paid,"Friday, May 14, 2021",904910,Debt consolidation,B3, 36 months,Source Verified,21996,0.1271,243.31,0.1037,7500,4,8759,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,Mid Career
785789,California,INDIVIDUAL,4 years,Ipg - Twofifteen Mccann,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Wednesday, July 14, 2021",Fully Paid,"Saturday, August 14, 2021",989131,Debt consolidation,B3, 36 months,Source Verified,120000,0.0972,392.81,0.1099,12000,21,14141,2021,11,November,4,High Income,Moderate Interest,Low DTI,Mid Career
730568,California,INDIVIDUAL,4 years,San Diego Zoo,B,RENT,"Thursday, November 4, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",926539,Debt consolidation,B5, 36 months,Source Verified,52000,0.0766,262.33,0.1111,8000,23,9444,2021,11,November,4,Middle Income,Moderate Interest,Low DTI,Mid Career
709467,California,INDIVIDUAL,5 years,Ucla School Of Law,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Wednesday, April 14, 2021",Fully Paid,"Friday, May 14, 2021",902089,Debt consolidation,B2, 36 months,Source Verified,39000,0.2032,90.35,0.1,2800,17,3253,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Mid Career
852831,California,INDIVIDUAL,< 1 year,New American Funding,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Tuesday, September 14, 2021",Fully Paid,"Thursday, October 14, 2021",1064955,Debt consolidation,B2, 36 months,Source Verified,50000,0.1858,390.54,0.1059,12000,22,14059,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
739162,California,INDIVIDUAL,< 1 year,Icing On The Cake,B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",936711,Debt consolidation,B5, 36 months,Source Verified,23000,0.2447,141.83,0.1111,4325,10,5105,2021,11,November,4,Low Income,Moderate Interest,High DTI,Long Term Employee
839811,California,INDIVIDUAL,10+ years,Twin Rivers Unified School District,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Friday, December 10, 2021",Fully Paid,"Saturday, December 11, 2021",1050056,Debt consolidation,B2, 36 months,Source Verified,54000,0.1353,221.31,0.1059,6800,26,7506,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
774295,California,INDIVIDUAL,1 year,Stanford School Of Medicine,B,RENT,"Saturday, November 6, 2021","Sunday, May 16, 2021","Saturday, November 13, 2021",Fully Paid,"Monday, December 13, 2021",976458,Debt consolidation,B3, 36 months,Source Verified,48500,0.2004,163.67,0.1099,5000,14,5839,2021,11,November,4,Middle Income,Moderate Interest,High DTI,New Employee
834037,California,INDIVIDUAL,2 years,Cbs Films,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Saturday, August 14, 2021",Fully Paid,"Tuesday, September 14, 2021",1043787,Debt consolidation,B1, 36 months,Source Verified,82000,0.2313,130.67,0.0999,4050,47,4704,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Early Career
702988,California,INDIVIDUAL,3 years,Ucla,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Sunday, March 14, 2021",Fully Paid,"Wednesday, April 14, 2021",894880,Debt consolidation,B5, 36 months,Source Verified,24000,0.1375,262.33,0.1111,8000,9,9414,2021,11,November,4,Low Income,Moderate Interest,Moderate DTI,Early Career
768364,California,INDIVIDUAL,4 years,"H&H Agency, Inc.",B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Saturday, February 13, 2021",Fully Paid,"Saturday, March 13, 2021",969661,Debt consolidation,B2, 36 months,Source Verified,78262,0.1598,375.08,0.1059,11525,9,13076,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Mid Career
712982,California,INDIVIDUAL,4 years,Blackrock,B,RENT,"Wednesday, November 3, 2021","Sunday, May 16, 2021","Friday, December 10, 2021",Fully Paid,"Saturday, December 11, 2021",906163,Debt consolidation,B3, 36 months,Source Verified,120000,0.1044,648.83,0.1037,20000,23,22452,2021,11,November,4,High Income,Moderate Interest,Moderate DTI,Mid Career
718570,California,INDIVIDUAL,10+ years,National Oilwell Varco,B,RENT,"Thursday, November 4, 2021","Sunday, May 16, 2021","Wednesday, April 14, 2021",Fully Paid,"Friday, May 14, 2021",912807,Debt consolidation,B5, 36 months,Source Verified,43200,0.0956,131.17,0.1111,4000,17,4722,2021,11,November,4,Middle Income,Moderate Interest,Low DTI,Long Term Employee
1006875,California,INDIVIDUAL,1 year,"Projecis, Inc.",B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Thursday, October 14, 2021",Fully Paid,"Sunday, November 14, 2021",1233237,Debt consolidation,B1, 36 months,Verified,93000,0.2747,676.73,0.0991,21000,24,24345,2021,11,November,4,Upper Middle Income,Moderate Interest,Very High DTI,New Employee
745941,California,INDIVIDUAL,10+ years,Manhattan Beach Unified School District,B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",944581,Debt consolidation,B1, 36 months,Verified,72000,0.256,387.15,0.0999,12000,38,13937,2021,11,November,4,Upper Middle Income,Moderate Interest,Very High DTI,Long Term Employee
1051492,California,INDIVIDUAL,10+ years,Nbc Universal,B,RENT,"Friday, November 12, 2021","Sunday, May 16, 2021","Tuesday, December 14, 2021",Fully Paid,"Friday, January 14, 2022",1283179,Debt consolidation,B2, 36 months,Verified,63000,0.2333,390.88,0.1065,12000,24,14072,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Long Term Employee
716761,California,INDIVIDUAL,10+ years,Raytheon,B,RENT,"Thursday, November 4, 2021","Sunday, May 16, 2021","Sunday, December 5, 2021",Fully Paid,"Monday, December 6, 2021",910745,Debt consolidation,B3, 36 months,Verified,85000,0.0658,194.65,0.1037,6000,18,6575,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Long Term Employee
872659,California,INDIVIDUAL,2 years,Bank Of America,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Tuesday, July 13, 2021",Fully Paid,"Friday, August 13, 2021",1086915,Debt consolidation,B5, 36 months,Verified,55001,0.1067,225.83,0.1199,6800,12,7906,2021,11,November,4,Middle Income,Moderate Interest,Moderate DTI,Early Career
859552,California,INDIVIDUAL,3 years,Dept Of Transportation,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Saturday, February 13, 2021",Fully Paid,"Saturday, March 13, 2021",1072249,Debt consolidation,B2, 36 months,Verified,74064,0.0894,715.99,0.1059,22000,21,24647,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Early Career
656256,California,INDIVIDUAL,3 years,Kasier,B,RENT,"Monday, November 1, 2021","Sunday, May 16, 2021","Tuesday, July 13, 2021",Fully Paid,"Friday, August 13, 2021",839356,Debt consolidation,B3, 36 months,Verified,87000,0.0832,259.53,0.1037,8000,18,8974,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Early Career
1030796,California,INDIVIDUAL,4 years,Logfrret Inc.,B,RENT,"Thursday, November 11, 2021","Sunday, May 16, 2021","Tuesday, December 14, 2021",Fully Paid,"Friday, January 14, 2022",1260187,Debt consolidation,B2, 36 months,Verified,50000,0.2479,195.44,0.1065,6000,18,7036,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Mid Career
990654,California,INDIVIDUAL,6 years,Kearny Mesa Infiniti,B,RENT,"Wednesday, November 10, 2021","Sunday, May 16, 2021","Wednesday, October 13, 2021",Fully Paid,"Saturday, November 13, 2021",1214641,Debt consolidation,B2, 36 months,Verified,117000,0.2002,684.04,0.1065,21000,14,23950,2021,11,November,4,High Income,Moderate Interest,High DTI,Experienced
977264,California,INDIVIDUAL,7 years,Union Bank,B,RENT,"Wednesday, November 10, 2021","Sunday, May 16, 2021","Thursday, October 14, 2021",Fully Paid,"Sunday, November 14, 2021",1200045,Debt consolidation,B1, 36 months,Verified,37000,0.2462,270.69,0.0991,8400,15,9745,2021,11,November,4,Middle Income,Moderate Interest,High DTI,Experienced
858470,California,INDIVIDUAL,7 years,The Boeing Company,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Thursday, November 11, 2021",Fully Paid,"Friday, November 12, 2021",1071050,Debt consolidation,B2, 36 months,Verified,81000,0.2161,585.81,0.1059,18000,28,18311,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Experienced
886716,California,INDIVIDUAL,7 years,City Of Redlands,B,RENT,"Tuesday, November 9, 2021","Sunday, May 16, 2021","Thursday, October 14, 2021",Fully Paid,"Sunday, November 14, 2021",1102718,Debt consolidation,B2, 36 months,Verified,60000,0.2228,312.71,0.1065,9600,33,11257,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Experienced
762143,California,INDIVIDUAL,8 years,Ticketmaster / Livenation,B,RENT,"Friday, November 5, 2021","Sunday, May 16, 2021","Monday, June 14, 2021",Fully Paid,"Wednesday, July 14, 2021",962645,Debt consolidation,B3, 36 months,Verified,95000,0.2082,261.88,0.1099,8000,12,9427,2021,11,November,4,Upper Middle Income,Moderate Interest,High DTI,Experienced
668983,California,INDIVIDUAL,9 years,Fujifilm Dimatix,B,RENT,"Tuesday, November 2, 2021","Sunday, May 16, 2021","Sunday, February 14, 2021",Fully Paid,"Sunday, March 14, 2021",855384,Debt consolidation,B5, 36 months,Verified,125000,0.1996,655.82,0.1111,20000,17,23611,2021,11,November,4,High Income,Moderate Interest,Moderate DTI,Experienced
804260,California,INDIVIDUAL,< 1 year,Energy Solutions,B,RENT,"Sunday, November 7, 2021","Sunday, May 16, 2021","Monday, June 14, 2021",Fully Paid,"Wednesday, July 14, 2021",1010103,Debt consolidation,B3, 36 months,Verified,60000,0.0804,654.68,0.1099,20000,18,23563,2021,11,November,4,Upper Middle Income,Moderate Interest,Low DTI,Long Term Employee
657997,California,INDIVIDUAL,< 1 year,K & N Engineering,B,RENT,"Monday, November 1, 2021","Sunday, May 16, 2021","Monday, December 13, 2021",Fully Paid,"Thursday, January 13, 2022",841473,Debt consolidation,B5, 36 months,Verified,75000,0.1262,655.82,0.1111,20000,16,23593,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Long Term Employee
858158,California,INDIVIDUAL,2 years,Russ Reid,B,RENT,"Monday, November 8, 2021","Sunday, May 16, 2021","Friday, May 14, 2021",Fully Paid,"Monday, June 14, 2021",1070714,Debt consolidation,B3, 36 months,Verified,82000,0.1695,523.75,0.1099,16000,25,18692,2021,11,November,4,Upper Middle Income,Moderate Interest,Moderate DTI,Early Career
